auction_id,auction_index,solutions,max_trades_in_solution,max_trades_solution_uid,max_pairs_in_solution,max_pairs_solution_uid
12310225,0,5,1,0,1,0
12310233,1,2,1,0,1,0
12310234,2,3,1,0,1,0
12310235,3,1,1,0,1,0
12310237,4,2,1,0,1,0
12310241,5,15,1,0,1,0
12310245,6,17,2,0,2,0
12310247,7,1,1,0,1,0
12310248,8,15,2,15,2,15
12310249,9,6,1,0,1,0
12310250,10,7,1,0,1,0
12310251,11,1,1,0,1,0
12310252,12,12,1,0,1,0
12310253,13,13,2,0,2,0
12310256,14,10,2,9,2,9
12310260,15,5,1,0,1,0
12310265,16,10,1,0,1,0
12310266,17,14,2,13,2,13
12310268,18,24,4,21,3,21
12310274,19,1,1,0,1,0
12310277,20,7,1,0,1,0
12310279,21,14,1,0,1,0
12310280,22,5,1,0,1,0
12310282,23,3,1,0,1,0
12310283,24,8,1,0,1,0
12310285,25,4,1,0,1,0
12310286,26,16,2,15,2,15
12310288,27,3,1,0,1,0
12310290,28,4,1,0,1,0
12310293,29,6,1,0,1,0
12310294,30,6,1,0,1,0
12310297,31,6,1,0,1,0
12310298,32,104,5,103,5,103
12310300,33,8,1,0,1,0
12310302,34,4,1,0,1,0
12310307,35,1,1,0,1,0
12310309,36,4,1,0,1,0
12310310,37,11,2,10,2,10
12310311,38,6,2,6,2,6
12310316,39,5,1,0,1,0
12310318,40,11,1,0,1,0
12310323,41,1,1,0,1,0
12310324,42,5,1,0,1,0
12310325,43,1,1,0,1,0
12310326,44,3,1,0,1,0
12310327,45,3,1,0,1,0
12310330,46,5,1,0,1,0
12310336,47,8,1,0,1,0
12310337,48,6,1,0,1,0
12310339,49,10,1,0,1,0
12310343,50,22,2,19,2,19
12310346,51,8,1,0,1,0
12310349,52,16,1,0,1,0
12310353,53,2,1,0,1,0
12310356,54,1,1,0,1,0
12310359,55,5,1,0,1,0
12310365,56,9,1,0,1,0
12310366,57,10,1,0,1,0
12310372,58,3,1,0,1,0
12310376,59,19,2,1,2,1
12310383,60,13,1,0,1,0
12310384,61,3,1,0,1,0
12310392,62,1,1,0,1,0
12310397,63,1,1,0,1,0
12310403,64,6,1,0,1,0
12310405,65,5,1,0,1,0
12310410,66,6,1,0,1,0
12310412,67,3,1,0,1,0
12310414,68,9,1,0,1,0
12310415,69,3,2,0,1,0
12310416,70,1,1,0,1,0
12310417,71,29,2,25,2,25
12310418,72,1,1,0,1,0
12310419,73,3,1,0,1,0
12310420,74,16,1,0,1,0
12310424,75,5,1,0,1,0
12310425,76,5,1,0,1,0
12310426,77,1,1,0,1,0
12310428,78,12,1,0,1,0
12310430,79,8,1,0,1,0
12310432,80,4,1,0,1,0
12310438,81,2,1,0,1,0
12310440,82,6,1,0,1,0
12310448,83,1,1,0,1,0
12310451,84,4,1,0,1,0
12310453,85,26,2,21,2,21
12310468,86,1,1,0,1,0
12310469,87,8,1,0,1,0
12310472,88,1,1,0,1,0
12310475,89,5,1,0,1,0
12310480,90,7,1,0,1,0
12310482,91,12,1,0,1,0
12310487,92,1,1,0,1,0
12310492,93,1,1,0,1,0
12310493,94,1,1,0,1,0
12310494,95,1,1,0,1,0
12310495,96,9,1,0,1,0
12310496,97,8,1,0,1,0
12310497,98,5,1,0,1,0
12310499,99,4,1,0,1,0
12310503,100,18,1,0,1,0
12310508,101,1,1,0,1,0
12310509,102,4,1,0,1,0
12310510,103,3,1,0,1,0
12310511,104,5,1,0,1,0
12310512,105,4,1,0,1,0
12310514,106,7,2,6,2,6
12310515,107,2,1,0,1,0
12310516,108,7,1,0,1,0
